SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
101,UL,*Mark Loretta,Padres,310,'04,11,11,2B+3,R,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
273,UL,Gary Bennett,Padres,10,'04,9,10,C+5,R,,-,1-,2-5,6-7,8-10,11-18,-,19-20,-,21+
274,UL,Sean Burroughs,Padres,190,'04,10,12,3B+1,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
275,UL,Adam Eaton,Padres,230,'04,3,6,Starter,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+
276,UL,Luther Hackman,Padres,10,'04,1,1,Reliever,R,,1-2,3-9,10-14,15-16,17-18,19-,-,20-21,-,22+
277,UL,Ryan Klesko,Padres,70,'04,10,9,1B+0,L,,-,1-2,3-4,5-6,7-12,13-17,-,18-19,-,20+
278,UL,Brian Lawrence,Padres,240,'04,3,6,Starter,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-23,-,24+
279,UL,Mark Loretta,Padres,280,'04,11,11,2B+2,R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
280,UL,Phil Nevin,Padres,70,'04,9,9,"1B+0, LF-RF+0",R,,-,1-2,3-4,5-6,7-10,11-17,-,18-,-,19+
281,UL,Ramon Vazquez,Padres,10,'04,10,12,SS+1,L,,-,1-2,3-5,6-7,8-11,12-17,18-19,20-,-,21+
9,UL,**Doug Glanville,Phillies,70,'04,9,15,CF+1,R,,-,1-,2-4,5-7,8-,9-18,-,19-,-,20+
12,P,Jimmy Rollins,Phillies,220,'04,9,16,SS+2,S,,-,1-,2-3,4-5,6-9,10-15,16-,17-18,19-,20+
36,UL,**Tim Worrell,Phillies,160,'04,4,1,Reliever,R,,1-,2-5,6-13,14-15,16-17,18-19,-,20-25,-,26+
41,P,Ricky Ledee,Phillies,80,'04,9,15,OF+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
47,P,Todd Pratt,Phillies,330,'04,13,12,"C+4, 1B+0",R,,-,1-,2-5,6-,7-11,12-15,-,16-19,-,20+
88,UL,*Mike Lieberthal,Phillies,120,'04,9,8,C+7,R,,-,1-,2-4,5-7,8-11,12-16,-,17-18,-,19+
91,UL,**Billy Wagner,Phillies,250,'04,6,1,Closer,L,,1-4,5-11,12-15,16-17,18-,19-,-,20-21,-,22+
100,UL,*Jim Thome,Phillies,440,'04,13,11,1B+1,L,,-,1-4,5-,6-,7-13,14-15,-,16-17,-,18+
120,UL,**Richie Ashburn,Phillies,480,'04,14,20,CF+3,L,SB S,-,1-,2-4,5-,6-9,10-14,15-17,18-,19-24,25+
125,UL,**Mike Schmidt,Phillies,690,'04,13,14,3B+4,R,V HR G S,5-,1-3,4-,5-6,7-11,12-15,-,16-,-,17+
252,UL,Bobby Abreu,Phillies,340,'04,13,17,LF-RF+1,L,,-,1-2,3-5,6-7,8-12,13-16,17-,18-19,-,20+
253,UL,David Bell,Phillies,70,'04,9,8,3B+2,R,,-,1-,2-3,4-5,6-11,12-17,-,18-19,-,20+
254,UL,Pat Burrell,Phillies,130,'04,9,8,LF-RF+0,R,,-,1-2,3-4,5-6,7-11,12-15,-,16-18,-,19+
255,UL,Marlon Byrd,Phillies,350,'04,11,12,CF+1,R,R,-,1-,2-4,5-,6-8,9-15,16-17,18-19,-,20+
256,UL,Rheal Cormier,Phillies,250,'04,6,1,Reliever,L,,1-2,3-6,7-14,15-16,17-,18-19,-,20-26,-,27+
257,UL,Vicente Padilla,Phillies,270,'04,3,7,Starter,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-24,-,25+
258,UL,Tomas Perez,Phillies,40,'04,9,8,IF+1,S,,-,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
259,UL,Placido Polanco,Phillies,230,'04,10,14,"2B+3, 3B+2",R,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,-,20+
260,UL,Jimmy Rollins,Phillies,220,'04,9,16,SS+2,S,,-,1-,2-3,4-5,6-9,10-15,16-,17-18,19-,20+
261,UL,Carlos Silva,Phillies,70,'04,4,1,Reliever,R,,1-2,3-6,7-11,12-13,14-16,17-19,-,20-25,-,26+
262,UL,Jim Thome,Phillies,440,'04,12,8,1B+1,L,HR,-,1-4,5-,6-,7-12,13-16,-,17-,-,18+
263,UL,Randy Wolf,Phillies,390,'04,4,6,Starter,L,,1-3,4-8,9-14,15-16,17-,18-19,-,20-23,-,24+
1,UL,**Jose Mesa,Pirates,10,'04,1,1,Closer,R,,1-3,4-8,9-14,15-16,17-,18-19,-,20-25,-,26+
6,UL,**Carlos Rivera,Pirates,20,'04,9,13,1B+0,L,R,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
23,P,Reggie Sanders,Pirates,390,'04,10,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-17,-,18+
36,P,Jeff Reboulet,Pirates,50,'04,10,11,"2B+4, 3B+1",R,,-,1-,2-4,5-6,7-10,11-18,-,19-20,-,21+
48,UL,**Randall Simon,Pirates,200,'04,9,10,1B+1,L,,-,-,1-4,5-6,7-8,9-16,-,17-18,-,19+
48,UL,*Kip Wells,Pirates,360,'04,3,6,Starter,R,,1-2,3-7,8-13,14-17,18-,19-23,-,24-26,-,27+
57,UL,**Raul Mondesi,Pirates,240,'04,10,20,LF-RF+1,R,,-,1-2,3-4,5-7,8-10,11-15,16-,17-18,-,19+
77,UL,*Jack Wilson,Pirates,600,'04,13,16,"SS+2, 2B+2",R,,-,1-,2-3,4-6,7-,8-13,14-16,17-,18-19,20+
78,UL,*Craig Wilson,Pirates,690,'04,14,10,"1B+1, LF-RF+0",R,,-,1-2,3-5,6-,7-9,10-14,-,15-18,-,19+
90,UL,*Rob Mackowiak,Pirates,130,'04,9,13,LF-RF+0,L,,-,1-,2-3,4-5,6-11,12-17,-,18-,-,19+
117,CC,*Ralph Kiner,Pirates,530,'04,13,12,LF-RF+1,R,HR S,-,1-3,4-,5-6,7-11,12-15,-,16-,17-,18+
123,UL,**Willie Stargell,Pirates,620,'04,12,10,"1B+0, OF+0",L,V HR S,-,1-3,4-,5-6,7-,8-14,-,15-17,-,18+
264,UL,Kris Benson,Pirates,240,'04,2,6,Starter,R,,1-3,4-7,8-13,14-18,19-,20-21,-,22-23,-,24+
265,UL,Jeff D’Amico,Pirates,50,'04,2,6,Starter,R,,1-2,3-5,6-11,12-16,17-,18-19,-,20-23,-,24+
266,UL,Adam Hyzdu,Pirates,10,'04,9,10,CF+1,R,,-,1-4,5-7,8-,9-11,12-18,-,19-20,-,21+
267,UL,Jason Kendall,Pirates,300,'04,12,15,C+6,R,,-,1-,2-4,5-6,7-9,10-16,17-18,19-20,-,21+
268,UL,Brian Meadows,Pirates,110,'04,3,2,Reliever,R,,1-0,2-4,5-12,13-16,-,17-19,-,20-24,-,25+
269,UL,Abraham Nunez,Pirates,130,'04,9,12,2B+4,S,,-,1-,2-4,5-6,7-9,10-17,-,18-,19-,20+
270,UL,Reggie Sanders,Pirates,390,'04,10,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-17,-,18+
271,UL,Matt Stairs,Pirates,340,'04,12,8,"LF-RF+0, 1B+0",L,,-,1-,2-3,4-6,7-11,12-16,-,17-18,-,19+
272,UL,Jack Wilson,Pirates,70,'04,9,11,SS+3,R,,-,1-,2-4,5-7,8-10,11-17,-,18-19,-,20+
14,UL,*Francisco Cordero,Rangers,150,'04,2,1,Closer,R,,1-,2-6,7-12,13-17,18-19,20-23,-,24-27,-,28+
16,UL,**David Dellucci,Rangers,120,'04,9,13,LF-RF+1,L,,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,19-,20+
17,UL,**Eric Young,Rangers,120,'04,9,19,2B+2,R,,-,1-,2-4,5-6,7-11,12-15,16-17,18-19,-,20+
20,UL,**Jeff Nelson,Rangers,130,'04,3,1,Reliever,R,,1-3,4-10,11-15,16-17,18-,19-22,-,23-25,-,26+
24,UL,**Laynce Nix,Rangers,140,'04,9,10,OF+1,L,,-,1-2,3-5,6-7,8-9,10-16,-,17-18,-,19+
27,UL,**Kevin Mench,Rangers,220,'04,10,10,LF-RF+0,R,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
32,UL,**Brad Fullmer,Rangers,160,'04,11,11,1B+0,L,,-,1-,2-3,4-6,7-10,11-17,-,18-,-,19+
32,UL,*Gerald Laird,Rangers,260,'04,13,8,C+10,R,R,-,1-2,3-5,6-7,8-10,11-18,-,19-20,-,21+
53,UL,*Kenny Rogers,Rangers,450,'04,4,7,Starter,L,,1-2,3-5,6-11,12-17,18-,19-20,-,21-24,-,25+
59,UL,*R.A. Dickey,Rangers,470,'04,3,7,Starter,R,,1-3,4-6,7-14,15-16,17-18,19-20,-,21-22,-,23+
70,UL,*Alfonso Soriano,Rangers,590,'04,12,20,2B+3,R,,-,1-,2-3,4-5,6-7,8-13,14-16,17-,18-19,20+
96,UL,*Hank Blalock,Rangers,540,'04,12,10,3B+0,L,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
328,UL,Hank Blalock,Rangers,350,'04,11,9,3B+1,L,,-,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
329,UL,Francisco Cordero,Rangers,140,'04,3,1,Closer,R,,1-2,3-8,9-15,16-17,18-,19-23,-,24-26,-,27+
330,UL,Aaron Fultz,Rangers,10,'04,1,1,Reliever,L,,-,1-4,5-11,12-15,16-17,18-19,-,20-23,-,24+
331,UL,Juan Gonzalez,Rangers,370,'04,10,9,LF-RF+1,R,,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
332,UL,Rafael Palmeiro,Rangers,250,'04,10,9,DH,L,,-,1-,2-3,4-6,7-12,13-18,-,19-,-,20+
333,UL,Alex Rodriguez,Rangers,620,'04,13,16,SS+4,R,V HR G S,-,1-2,3-4,5-6,7-11,12-15,16-,17-,-,18+
334,UL,Mark Teixeira,Rangers,160,'04,9,12,1B+1,S,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
335,UL,John Thomson,Rangers,180,'04,3,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
336,UL,Ismael Valdes,Rangers,10,'04,1,5,Starter,R,,1-2,3-4,5-11,12-15,16-,17-18,-,19-22,-,23+
337,UL,Michael Young,Rangers,470,'04,11,13,2B+3,R,,-,1-,2-4,5-6,7-8,9-15,16-,17-18,19-,20+
2,UL,**Pokey Reese,Red Sox,10,'04,9,14,2B+5,R,,-,1-3,4-5,6-8,9-12,13-19,-,20-,-,21+
5,P,Derek Lowe,Red Sox,110,'04,2,6,Starter,R,,1-2,3-5,6-15,16-,17-,18-19,-,20-25,-,26+
28,P,Damian Jackson,Red Sox,180,'04,10,20,"IF+1, OF+1",R,,-,1-2,3-4,5-6,7-9,10-17,18-,19-20,-,21+
45,UL,Johnny Damon,Red Sox,200,'04,10,19,CF+1,L,,-,1-,2-4,5-6,7-10,11-15,16-17,18-19,-,20+
46,UL,Alan Embree,Red Sox,150,'04,4,1,Reliever,L,,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+
47,UL,Nomar Garciaparra,Red Sox,580,'04,11,16,SS+2,R,,-,1-,2-3,4-6,7-8,9-14,15-,16-17,18-,19+
48,UL,Byung-Hyun Kim,Red Sox,190,'04,4,1,Closer,R,,1-3,4-8,9-15,16-17,18-,19-22,-,23-25,-,26+
49,UL,Derek Lowe,Red Sox,110,'04,2,6,Starter,R,,1-2,3-5,6-15,16-,17-,18-19,-,20-25,-,26+
50,UL,Pedro Martinez,Red Sox,510,'04,5,7,Starter,R,K,1-2,3-8,9-14,15-17,-,18-19,-,20-26,-,27+
51,UL,**Ellis Burks,Red Sox,220,'04,10,9,--,R,,-,1-2,3-4,5-,6-10,11-16,-,17-19,-,20+
51,UL,*Pedro Martinez,Red Sox,440,'04,5,6,Starter,R,,1-3,4-8,9-13,14-17,-,18-20,-,21-23,-,24+
51,UL,Bill Mueller,Red Sox,410,'04,12,12,3B+1,S,S,-,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
52,UL,Trot Nixon,Red Sox,350,'04,12,10,LF-RF+0,L,,-,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
53,UL,David Ortiz,Red Sox,300,'04,11,8,1B+0,L,,-,1-2,3-4,5-7,8-11,12-15,-,16-18,-,19+
54,UL,Manny Ramirez,Red Sox,570,'04,13,10,LF-RF+0,R,S,-,1-,2-3,4-6,7-11,12-16,-,17-18,-,19+
55,UL,Jason Varitek,Red Sox,300,'04,10,10,C+6,S,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
56,UL,Tim Wakefield,Red Sox,250,'04,3,6,Starter,R,,1-4,5-8,9-14,15-16,17-,18-19,-,20-24,-,25+
57,UL,Todd Walker,Red Sox,300,'04,10,10,2B+2,L,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
60,UL,**Keith Foulke,Red Sox,260,'04,6,1,Closer,R,,1-2,3-7,8-11,12-17,18-,19-,-,20-23,-,24+
66,UL,**John Burkett,Red Sox,310,'04,3,6,Starter,R,,1-2,3-5,6-13,14-17,18-,19-23,-,24-26,-,27+
81,UL,**Curt Schilling,Red Sox,550,'04,5,8,Starter,R,,1-3,4-9,10-14,15-16,17-,18-21,-,22-25,-,26+
89,UL,*Mike Timlin,Red Sox,120,'04,3,1,Reliever,R,,1-2,3-8,9-14,15-16,17-,18-19,-,20-27,-,28+
111,UL,**Nomar Garciaparra,Red Sox,590,'04,12,15,SS+2,R,,-,1-,2-4,5-6,7-8,9-14,15-,16-17,18-,19+
113,UL,*Curt Schilling,Red Sox,550,'04,5,7,Starter,R,,1-,2-7,8-12,13-17,18-,19-,-,20-22,-,23+
115,UL,*Manny Ramirez,Red Sox,610,'04,14,11,LF-RF+0,R,,-,1-2,3-,4-6,7-12,13-16,-,17-18,-,19+
1,P,Barry Larkin,Reds,10,'04,10,9,SS+2,R,,-,1-,2-5,6-7,8-10,11-18,-,19-20,-,21+
15,UL,*Ryan Freel,Reds,150,'04,9,19,LF-RF+2,R,R,-,1-,2-4,5-6,7-8,9-16,-,17-18,19-,20+
16,P,Ken Griffey Jr.,Reds,300,'04,11,9,CF+1,L,,-,1-2,3-4,5-6,7-12,13-15,-,16-17,-,18+
45,P,Ryan Wagner,Reds,230,'04,5,1,Reliever,R,,1-2,3-7,8-13,14-16,17-18,19-20,-,21-,-,22+
72,UL,*Sean Casey,Reds,490,'04,13,13,1B+1,L,,-,1-,2-5,6-7,8-9,10-16,-,17-19,-,20+
85,UL,Sean Casey,Reds,150,'04,10,10,1B+0,L,,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
86,UL,Juan Castro,Reds,100,'04,9,9,IF+0,R,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
87,UL,Adam Dunn,Reds,110,'04,10,12,LF-RF+1,L,,-,1-2,3-0,4-6,7-13,14-17,-,18-,-,19+
88,UL,Danny Graves,Reds,10,'04,2,6,Starter,R,,1-,2-,3-10,11-15,16-,17-18,-,19-22,-,23+
89,UL,Ken Griffey Jr.,Reds,300,'04,11,9,CF+1,L,,-,1-2,3-4,5-6,7-12,13-15,-,16-17,-,18+
90,UL,D’Angelo Jimenez,Reds,210,'04,9,10,2B+4,S,,-,1-,2-3,4-,5-9,10-16,-,17-18,19-,20+
91,UL,Austin Kearns,Reds,180,'04,10,11,LF-RF+2,R,,-,1-2,3-4,5-,6-11,12-17,-,18-,-,19+
92,UL,Barry Larkin,Reds,10,'04,10,9,SS+2,R,,-,1-,2-5,6-7,8-10,11-18,-,19-20,-,21+
93,UL,Jason LaRue,Reds,180,'04,9,10,C+9,R,,-,1-2,3-4,5-,6-9,10-15,-,16-18,-,19+
94,UL,Chris Reitsma,Reds,30,'04,3,1,Closer,R,,1-,2-4,5-12,13-15,16-,17-18,-,19-22,-,23+
95,UL,Reggie Taylor,Reds,10,'04,9,12,OF+0,L,,-,1-4,5-6,7-8,9-11,12-18,-,19-,-,20+
96,UL,Paul Wilson,Reds,50,'04,2,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
98,UL,*Danny Graves,Reds,240,'04,5,1,Closer,R,,1-2,3-7,8-12,13-17,18-,19-22,-,23-26,-,27+
103,UL,*Ken Griffey Jr.,Reds,360,'04,11,12,CF+1,L,,-,1-2,3-,4-6,7-10,11-15,-,16-17,-,18+
1,UL,*Shawn Chacon,Rockies,10,'04,1,1,Closer,R,,1-4,5-10,11-14,15-16,-,17-,-,18-22,-,23+
8,UL,*Shawn Estes,Rockies,50,'04,2,6,Starter,L,,1-,2-4,5-12,13-16,17-,18-19,-,20-23,-,24+
19,UL,**Javier Lopez,Rockies,130,'04,4,1,Reliever,L,,1-2,3-6,7-10,11-16,17-,18-19,-,20-24,-,25+
21,P,Preston Wilson,Rockies,50,'04,2,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
23,UL,*Aaron Miles,Rockies,180,'04,9,11,2B+3,S,R,-,1-,2-4,5-6,7-,8-17,-,18-,19-,20+
32,P,Greg Norton,Rockies,70,'04,9,11,"3B+2, 1B+0",S,,-,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
57,UL,*Todd Helton,Rockies,540,'04,14,11,1B+1,L,,-,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
58,UL,**Jeromy Burnitz,Rockies,250,'04,9,11,LF-RF+0,L,,-,1-2,3-4,5-6,7-9,10-15,-,16-17,-,18+
81,UL,*Jason Jennings,Rockies,10,'04,1,5,Starter,R,,1-2,3-4,5-11,12-14,15-16,17-18,-,19-21,-,22+
97,UL,*Vinny Castilla,Rockies,520,'04,12,8,3B+3,R,,-,1-2,3-5,6-7,8-10,11-14,-,15-18,-,19+
111,UL,Ronnie Belliard,Rockies,270,'04,10,12,2B+3,R,,-,1-,2-3,4-5,6-9,10-16,-,17-19,-,20+
112,UL,Shawn Chacon,Rockies,260,'04,3,6,Starter,R,,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+
113,UL,**Todd Helton,Rockies,650,'04,14,11,1B+1,L,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
113,UL,Todd Helton,Rockies,630,'04,14,10,1B+1,L,S,-,1-,2-3,4-6,7-11,12-16,-,17-19,-,20+
114,UL,Charles Johnson,Rockies,110,'04,9,9,C+9,R,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
115,UL,Darren Oliver,Rockies,50,'04,2,5,Starter,L,,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+
116,UL,Jay Payton,Rockies,410,'04,11,11,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
117,UL,Justin Speier,Rockies,110,'04,3,1,Closer,R,,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+
118,UL,Chris Stynes,Rockies,120,'04,9,10,3B+3,R,,-,1-,2-4,5-6,7-10,11-16,-,17-19,-,20+
119,UL,Larry Walker,Rockies,380,'04,13,12,LF-RF+1,L,,-,1-2,3-5,6-7,8-12,13-17,-,18-,19-,20+
120,UL,Preston Willson,Rockies,320,'04,10,14,CF+0,R,,-,1-2,3-4,5-6,7-9,10-14,15-,16-18,-,19+
27,P,Carlos Febles,Royals,20,'04,12,21,2B+1,R,,-,1-3,4-6,7-10,11-,12-16,17-18,19-,20-21,22+
28,UL,**Scott Sullivan,Royals,150,'04,3,1,Reliever,R,,1-2,3-7,8-14,15-16,17-18,19-22,-,23-24,-,25+
56,UL,*Ken Harvey,Royals,440,'04,13,12,"1B+1, 2B+2",R,R,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
76,UL,**Juan Gonzalez,Royals,440,'04,10,9,LF-RF+1,R,,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
159,UL,Carlos Beltran,Royals,630,'04,12,23,CF+3,S,,-,1-,2-4,5-6,7-10,11-13,14-16,17-,18-,19+
160,UL,Angel Berroa,Royals,330,'04,10,17,SS+3,R,RY,-,1-,2-4,5-6,7-8,9-15,16-,17-18,19-,20+
161,UL,Jason Grimsley,Royals,10,'04,1,1,Reliever,R,,1-2,3-6,7-15,16-,17-,18-19,-,20-25,-,26+
162,UL,Aaron Guiel,Royals,320,'04,10,10,OF+1,L,,-,1-,2-3,4-5,6-9,10-15,-,16-18,-,19+
163,UL,Runelvys Hernandez,Royals,220,'04,3,6,Starter,R,,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+
164,UL,Raul Ibanez,Royals,220,'04,10,12,LF-RF+1,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
165,UL,Curtis Leskanic,Royals,220,'04,5,1,Reliever,R,,1-,2-6,7-13,14-17,18-,19-,-,20-26,-,27+
166,UL,Jose Lima,Royals,60,'04,2,5,Starter,R,,1-3,4-5,6-11,12-15,16-17,18-19,-,20-24,-,25+
167,UL,Mike MacDougal,Royals,90,'04,4,1,Closer,R,,1-,2-5,6-11,12-14,15-17,18-20,-,21-26,-,27+
168,UL,Brent Mayne,Royals,60,'04,9,8,C+7,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
169,UL,Joe Randa,Royals,180,'04,10,9,3B+2,R,,-,1-,2-3,4-6,7-10,11-17,-,18-19,-,20+
170,UL,Desi Relaford,Royals,150,'04,9,17,IF+1,S,,-,1-,2-4,5-6,7-9,10-15,16-17,18-19,-,20+
171,UL,Mike Sweeney,Royals,150,'04,12,10,1B+1,R,,-,1-,2-4,5-7,8-12,13-18,-,19-,-,20+
172,UL,Michael Tucker,Royals,140,'04,9,12,OF+0,L,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,19-,20+
18,UL,*Mike Maroth,Tigers,160,'04,2,6,Starter,L,,1-3,4-7,8-15,16-,17-,18-22,-,23-25,-,26+
19,UL,*Carlos Pena,Tigers,170,'04,9,16,1B+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-,18-,19+
21,UL,*Carlos Guillen,Tigers,410,'04,13,16,SS+4,S,,-,1-2,3-5,6-7,8-12,13-15,16-,17-18,19-,20+
34,UL,*Nate Robertson,Tigers,10,'04,1,5,Starter,L,R,1-,2-7,8-13,14-15,16-17,18-19,-,20-23,-,24+
35,UL,**Fernando Vina,Tigers,160,'04,9,10,2B+3,L,,-,1-,2-4,5-7,8-,9-16,-,17-18,19-,20+
37,P,Kevin Witt,Tigers,60,'04,9,11,"1B+1, 3B+1",L,R,-,1-2,3-5,6-7,8-9,10-17,-,18-,-,19+
56,UL,**Ivan Rodriguez,Tigers,230,'04,11,12,C+7,R,,-,1-2,3-5,6-7,8-11,12-16,17-,18-19,-,20+
85,UL,*Danny Patterson,Tigers,80,'04,3,1,Reliever,R,,1-3,4-6,7-15,16-,17-,18-19,-,20-23,-,24+
87,UL,**Rondell White,Tigers,220,'04,10,12,LF-RF+1,R,,-,1-,2-4,5-7,8-9,10-16,-,17-18,-,19+
106,UL,*Ivan Rodriguez,Tigers,420,'04,13,11,C+6,R,,-,1-2,3-5,6-,7-9,10-17,-,18-19,-,20+
121,UL,**Al Kaline,Tigers,600,'04,13,11,LF-RF+2,R,G S,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
121,UL,Jeremy Bonderman,Tigers,10,'04,1,5,Starter,R,,1-,2-5,6-12,13-16,-,17-19,-,20-23,-,24+
122,UL,Shane Halter,Tigers,30,'04,9,9,"3B+3, IF+1",R,,-,1-2,3-5,6-8,9-11,12-18,-,19-,-,20+
123,UL,Bobby Higginson,Tigers,10,'04,9,12,LF-RF+1,L,,-,1-,2-4,5-6,7-11,12-18,-,19-,-,20+
124,UL,Brandon Inge,Tigers,10,'04,9,10,C+8,R,,-,1-2,3-5,6-8,9-11,12-17,-,18-19,-,20+
125,UL,Wilfredo Ledezma,Tigers,40,'04,1,2,Reliever,L,R,1-2,3-5,6-10,11-16,17-,18-19,-,20-23,-,24+
126,UL,Chris Mears,Tigers,10,'04,1,1,Reliever,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-24,-,25+
127,UL,Warren Morris,Tigers,160,'04,9,10,2B+4,L,,-,1-,2-4,5-,6-8,9-17,-,18-19,-,20+
128,UL,Carlos Pena,Tigers,140,'04,9,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-17,-,18-19,20-,22+
129,UL,Ramon Santiago,Tigers,20,'04,9,12,"SS+4, 2B+3",S,,-,1-,2-4,5-6,7-10,11-18,-,19-20,-,21+
130,UL,Andres Torres,Tigers,10,'04,9,11,CF+1,S,,-,1-2,3-6,7-8,9-11,12-18,-,19-,20-,21+
131,UL,Dmitri Young,Tigers,200,'04,11,10,"LF-RF+1, 3B+1",S,,-,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
12,UL,*Carlos Silva,Twins,100,'04,2,7,Starter,R,,1-,2-3,4-11,12-16,17-,18-19,-,20-26,-,27+
18,UL,**Grant Balfour,Twins,130,'04,3,2,Reliever,R,R,1-2,3-8,9-13,14-16,17-18,19-20,-,21-22,-,23+
33,UL,*Joe Mauer,Twins,260,'04,11,11,C+7,L,R,-,1-0,2-4,5-7,8-11,12-16,-,17-19,-,20+
71,UL,*Lew Ford,Twins,350,'04,12,15,LF-RF+1,R,R,-,1-,2-4,5-6,7-9,10-15,16-,17-18,19-,20+
88,UL,**Joe Nathan,Twins,240,'04,5,1,Reliever,R,,1-4,5-10,11-15,16-17,18-,19-22,-,23-24,-,25+
93,UL,*J. C. Romero,Twins,140,'04,1,1,Reliever,L,,1-3,-,4-16,17-20,-,21-23,-,24-27,-,28+
196,UL,Chris Gomez,Twins,10,'04,9,9,2B+2,R,,-,1-,2-5,6-8,9-,10-17,-,18-19,20-,21+
197,UL,Cristian Guzman,Twins,110,'04,9,16,SS+1,S,,-,1-,2-4,5-6,7-8,9-16,17-18,19-,20-,21+
198,UL,LaTroy Hawkins,Twins,200,'04,5,1,Reliever,R,,1-2,3-7,8-12,13-16,17-,18-19,-,20-26,-,27+
199,UL,Torii Hunter,Twins,150,'04,9,16,CF+3,R,G,-,1-2,3-5,6-7,8-10,11-16,-,17-18,-,19+
200,UL,Jacque Jones,Twins,440,'04,11,16,LF-RF+1,L,,-,1-2,3-4,5-,6-7,8-14,15-16,17-19,-,20+
201,UL,Corey Koskie,Twins,360,'04,12,13,3B+1,L,,-,1-2,3-4,5-6,7-11,12-16,17-,18-19,-,20+
202,UL,Doug Mientkiewicz,Twins,210,'04,12,10,1B+0,L,,-,1-,2-4,5-7,8-11,12-17,-,18-19,-,20+
203,UL,A. J. Pierzynski,Twins,350,'04,11,10,C+7,L,,-,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
204,UL,Brad Radke,Twins,200,'04,3,6,Starter,R,,1-2,3-6,7-13,14-17,-,18-19,-,20-23,-,24+
205,UL,Shannon Stewart,Twins,320,'04,11,13,LF-RF+2,R,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
7,P,Frank Thomas,White Sox,390,'04,12,8,DH,R,HR,-,1-2,3-0,4-6,7-12,13-16,-,17-18,-,19+
11,UL,*Willie Harris,White Sox,90,'04,10,20,2B+4,L,,-,1-2,3-5,6-,7-10,11-17,-,18-20,-,21+
13,UL,*Aaron Rowand,White Sox,140,'04,9,11,CF+2,R,,-,1-2,3-4,5-7,8-10,11-14,-,15-19,-,20+
38,UL,*Esteban Loaiza,White Sox,300,'04,4,7,Starter,R,,1-5,6-8,9-14,15-16,17-,18-20,-,21-,-,22+
