Name,Team,SetNumber,Ed,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
**Doug Mirabelli,Red Sox,81,UL,350,'05,11,10,C+2,R,,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
**Edgar Renteria,Red Sox,163,UL,350,'05,10,15,SS+2,R,,,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
**Edgar Renteria,Red Sox,163,UL,350,'05,10,15,SS+2,R,,,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
Johnny Damon,Red Sox,45,UL,320,'05,11,17,CF+1,L,,,1-,2-4,5-6,7-10,11-16,17-,18-19,-,20+
**Bronson Arroyo,Red Sox,150,UL,310,'05,3,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+
Keith Foulke,Red Sox,47,UL,240,'05,5,1,Closer,R,,1-,2-6,7-10,11-16,17-,18-19,-,20-24,-,25+
Alan Embree,Red Sox,46,UL,190,'05,5,1,Reliever,L,,1-2,3-6,7-11,12-16,17-,18-19,-,20-23,-,24+
Bill Mueller,Red Sox,50,UL,180,'05,10,10,3B+1,S,,,1-,2-3,4-5,6-10,11-17,-,18-19,-,20+
Mark Bellhorn,Red Sox,44,UL,170,'05,11,12,2B+1,S,,,1-3,4-5,6-7,8-12,13-17,-,18-19,-,20+
Mike Timlin,Red Sox,55,UL,150,'05,4,1,Reliever,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+
Gabe Kapler,Red Sox,48,UL,110,'05,9,13,LF-RF+1,R,,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
**Jay Payton,Red Sox,96,UL,110,'05,9,10,CF+3,R,,,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
**Matt Mantei,Red Sox,12,UL,10,'05,1,1,Reliever,R,,1-4,5-10,11-13,14-15,16-,17-18,-,19-,-,20+
Pokey Reese,Red Sox,53,UL,10,'05,9,15,"SS+4, 2B+3",R,,,1-2,3-5,6-7,8-10,11-18,-,19-,-,20+
Adam Dunn,Reds,82,UL,440,'05,12,12,LF-RF+0,L,HR,,1-3,4-,5-6,7-12,13-16,-,17-18,-,19+
Sean Casey,Reds,80,UL,430,'05,12,10,1B+0,L,,,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
**Eric Milton,Reds,85,UL,250,'05,3,6,Starter,L,,1-3,4-7,8-11,12-15,16-,17-18,-,19-21,-,22+
D Angelo Jimenez,Reds,85,UL,240,'05,10,14,2B+2,S,,,1-,2-3,4-5,6-10,11-16,17-,18-19,-,20+
Danny Graves,Reds,199,UL,210,'05,4,1,Closer,R,,1-2,3-5,6-14,15-16,17-,18-19,-,20-23,-,24+
**Joe Randa,Reds,130,UL,200,'05,10,10,3B+2,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
Barry Larkin,Reds,86,UL,190,'05,10,12,SS+2,R,,,-,1-3,4-5,6-9,10-17,-,18-19,-,20+
Jason LaRue,Reds,87,UL,190,'05,9,8,C+6,R,,,1-2,3-4,5-6,7-9,10-15,-,16-18,-,19+
**Kent Mercker,Reds,122,UL,180,'05,4,1,Reliever,L,,1-3,4-8,9-13,14-15,16-17,18-19,-,20-25,-,26+
Ken GriffeyJr.,Reds,198,UL,180,'05,10,9,CF+1,L,,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Ryan Freel,Reds,83,UL,170,'05,11,21,"3B+3, OF+1",R,,,1-,2-4,5-6,7-11,12-16,17-18,19-,20-,21+
Paul Wilson,Reds,91,UL,150,'05,2,6,Starter,R,,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
Wily MoPena,Reds,88,UL,140,'05,9,16,LF-RF+0,R,,,1-3,4-6,7-,8-10,11-16,-,17-,-,18+
Aaron Harang,Reds,84,UL,100,'05,2,6,Starter,R,,1-2,3-6,7-12,13-16,17-,18-19,-,20-23,-,24+
**Rich Aurilia,Reds,57,UL,70,'05,9,10,SS+1,R,,,1-,2-3,4-6,7-10,11-17,-,18-19,-,20+
Juan Castro,Reds,81,UL,60,'05,9,9,3B+1,R,,,1-2,3-5,6-7,8-9,10-16,-,17-19,-,20+
**David Weathers,Reds,99,UL,60,'05,1,1,Reliever,R,,1-3,4-7,8-14,15-16,17-,18-21,-,22-23,-,24+
Phil Norton,Reds,89,UL,30,'05,1,1,Reliever,L,R,1-,2-4,5-12,13-15,16-17,18-19,-,20-25,-,26+
John Riedling,Reds,90,UL,30,'05,1,1,Reliever,R,,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+
Todd Helton,Rockies,108,UL,500,'05,14,10,1B+1,L,G,,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
Vinny Castilla,Rockies,105,UL,260,'05,9,8,3B+3,R,,,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
Jeromy Burnitz,Rockies,104,UL,230,'05,10,11,LF-RF+0,L,,,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
Royce Clayton,Rockies,107,UL,230,'05,10,13,SS+3,R,,,1-2,3-5,6-,7-9,10-15,16-17,18-19,-,20+
Mark Sweeney,Rockies,113,UL,210,'05,11,12,LF-RF+2,L,,,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
Aaron Miles,Rockies,111,UL,150,'05,10,13,2B+4,S,R,,1-,2-4,5-6,7-8,9-17,18-19,20-,-,21+
**Desi Relaford,Rockies,90,UL,110,'05,9,11,3B+2,S,,,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
Steve Reed,Rockies,112,UL,90,'05,2,1,Reliever,R,,1-3,4-6,7-13,14-16,17-,18-19,-,20-24,-,25+
Shawn Chacon,Rockies,106,UL,10,'05,1,1,Closer,R,,1-2,3-6,7-10,11-14,15-16,17-18,-,19-22,-,23+
Jason Jennings,Rockies,109,UL,10,'05,1,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+
Charles Johnson,Rockies,110,UL,10,'05,10,10,C+5,R,,,1-2,3-5,6-7,8-13,14-17,-,18-19,-,20+
**Zack Greinke,Royals,120,UL,400,'05,5,6,Starter,R,R,1-,2-5,6-10,11-16,17-,18-,-,19-22,-,23+
**Jose Lima,Royals,33,UL,350,'05,4,5,Starter,R,,1-2,3-5,6-12,13-16,-,17-18,-,19-21,-,22+
Ken Harvey,Royals,156,UL,270,'05,10,9,1B+1,R,,,1-2,3-5,6-,7-8,9-16,-,17-18,-,19+
Runelvys Hernandez,Royals,200,UL,270,'05,3,6,Starter,R,,1-4,5-7,8-14,15-16,17-,18-19,-,20-24,-,25+
Mike Sweeney,Royals,162,UL,260,'05,10,10,DH,R,,,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
Jimmy Gobble,Royals,11,P,220,'05,3,6,Starter,L,,1-5,6-7,8-14,15-16,17-,18-19,-,20-23,-,24+
Angel Berroa,Royals,153,UL,200,'05,9,14,SS+3,R,,,1-,2-4,5-6,7-8,9-15,16-,17-18,19-,20+
Joe Randa,Royals,158,UL,190,'05,10,8,3B+2,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
Nate Field,Royals,10,P,130,'05,3,1,Reliever,R,,1-,2-5,6-10,11-16,17-,18-19,-,20-24,-,25+
Desi Relaford,Royals,159,UL,120,'05,9,14,IF+1,S,,,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
Matt Stairs,Royals,160,UL,100,'05,10,9,LF-RF+1,L,,,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
Shawn Camp,Royals,154,UL,80,'05,2,2,Reliever,R,R,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+
Tony Graffanino,Royals,155,UL,70,'05,9,13,2B+4,R,,,-,1-3,4-5,6-9,10-17,18-,19-20,-,21+
Scott Sullivan,Royals,161,UL,20,'05,1,1,Reliever,R,,1-2,3-6,7-11,12-16,17-,18-19,-,20-23,-,24+
Darrell May,Royals,157,UL,10,'05,1,6,Starter,L,,1-4,5-8,9-13,14-15,16-,17-18,-,19-22,-,23+
Ivan Rodriguez,Tigers,120,UL,460,'05,12,12,C+10,R,G S,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
Carlos Guillen,Tigers,114,UL,450,'05,11,13,SS+4,S,,,1-,2-4,5-6,7-9,10-15,16-,17-18,19-,20+
Craig Monroe,Tigers,117,UL,350,'05,10,10,LF-RF+1,R,,,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
Alex Sanchez,Tigers,121,UL,330,'05,12,17,CF+1,L,,,1-,2-4,5-,6-,7-17,18-19,20-,-,21+
**Jeremy Bonderman,Tigers,46,UL,300,'05,3,6,Starter,R,,1-3,4-8,9-14,15-16,17-,18-19,-,20-23,-,24+
Nate Robertson,Tigers,119,UL,230,'05,3,6,Starter,L,,1-2,3-6,7-13,14-15,16-17,18-19,-,20-23,-,24+
**Troy Percival,Tigers,107,UL,210,'05,4,1,Closer,R,,1-2,3-6,7-11,12-17,18-,19-21,-,22-23,-,24+
Carlos Pena,Tigers,118,UL,210,'05,10,12,1B+0,L,,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Rondell White,Tigers,123,UL,210,'05,9,9,LF-RF+1,R,,,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
Omar Infante,Tigers,115,UL,200,'05,9,14,2B+2,R,,,1-2,3-4,5-6,7-9,10-15,16-,17-18,19-,20+
Eric Munson,Tigers,267,UL,190,'05,9,9,3B+1,L,,,1-2,3-4,5-6,7-10,11-15,-,16-17,-,18+
**Magglio Ordonez,Tigers,3,UL,180,'05,10,10,LF-RF+2,R,,,1-,2-4,5-6,7-10,11-17,-,18-,-,19+
Dmitri Young,Tigers,125,UL,180,'05,9,8,1B+0,S,,,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
Ugueth Urbina,Tigers,122,UL,170,'05,3,1,Closer,R,,1-4,5-10,11-14,15-17,18-19,20-21,-,22-23,-,24+
Mike Maroth,Tigers,116,UL,160,'05,2,7,Starter,L,,,1-3,4-11,12-16,17-,18-19,-,20-24,-,25+
Jason Johnson,Tigers,7,P,90,'05,2,6,Starter,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-24,-,25+
Esteban Yan,Tigers,124,UL,60,'05,2,1,Reliever,R,,,1-4,5-11,12-15,16-,17-19,-,20-25,-,26+
Johan Santana,Twins,195,UL,640,'05,6,7,Starter,L,20 CY K,1-2,3-8,9-13,14-17,18-,19-21,-,22-23,-,24+
Brad Radke,Twins,194,UL,410,'05,4,6,Starter,R,,1-2,3-6,7-13,14-17,-,18-19,-,20-24,-,25+
**Carlos Silva,Twins,44,UL,370,'05,4,7,Starter,R,,1-2,3-7,8-14,15-16,17-,18-20,-,21-25,-,26+
Torii Hunter,Twins,190,UL,310,'05,9,18,CF+3,R,G,,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
Lew Ford,Twins,188,UL,280,'05,11,17,LF-RF+1,R,,,1-,2-4,5-6,7-10,11-16,17-,18-19,-,20+
Corey Koskie,Twins,192,UL,280,'05,10,12,3B+1,L,,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
Juan Rincon,Twins,15,P,250,'05,5,1,Reliever,R,,1-3,4-10,11-15,16-17,18-,19-22,-,23-25,-,26+
Luis Rivas,Twins,16,P,210,'05,9,15,2B+3,R,,,1-,2-4,5-6,7-8,9-14,15-,16-18,19-,20+
Jacque Jones,Twins,191,UL,210,'05,9,14,LF-RF+2,L,,,1-2,3-4,5-6,7-9,10-15,16-,17-18,-,19+
Justin Morneau,Twins,14,P,130,'05,10,8,1B+0,L,,,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
Cristian Guzman,Twins,189,UL,130,'05,9,13,SS+3,S,,,1-,2-5,6-7,8-9,10-16,17-,18-19,-,20+
**Juan Castro,Twins,142,UL,70,'05,9,10,3B+1,R,,,1-2,3-5,6-7,8-9,10-16,-,17-19,-,20+
Michael Cuddyer,Twins,187,UL,60,'05,10,11,IF+0,R,,,1-2,3-5,6-7,8-11,12-17,-,18-19,-,20+
**Mike Redmond,Twins,109,UL,10,'05,9,10,C+3,R,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
Henry Blanco,Twins,186,UL,10,'05,9,8,C+10,R,,,1-2,3-5,6-9,10-11,12-16,-,17-19,-,20+
Aaron Rowand,White Sox,76,UL,530,'05,11,16,CF+1,R,,,1-,2-3,4-5,6-7,8-13,14-15,16-18,-,19+
Carlos Lee,White Sox,74,UL,460,'05,11,13,LF-RF+1,R,,,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
Freddy Garcia,White Sox,72,UL,380,'05,4,7,Starter,R,,1-2,3-7,8-13,14-16,17-,18-19,-,20-24,-,25+
Juan Uribe,White Sox,78,UL,350,'05,9,12,2B+4,R,,,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
Paul Konerko,White Sox,73,UL,340,'05,10,9,1B+0,R,HR,,1-,2-4,5-7,8-11,12-17,-,18-,-,19+
**A.J. Pierzynski,White Sox,49,UL,330,'05,9,10,C+3,L,,,-,1-3,4-5,6-7,8-15,-,16-18,-,19+
**Scott Podsednik,White Sox,100,UL,300,'05,10,24,CF+2,L,,,1-,2-4,5-6,7-9,10-15,16-17,18-,19-,20+
**Dustin Hermanson,White Sox,22,UL,280,'05,3,5,Starter,R,,1-2,3-6,7-12,13-16,17-,18-19,-,20-24,-,25+
Mark Buehrle,White Sox,70,UL,260,'05,3,8,Starter,L,,1-3,4-7,8-14,15-16,17-,18-19,-,20-23,-,24+
Shingo Takatsu,White Sox,77,UL,240,'05,5,1,Closer,R,,1-2,3-6,7-12,13-17,18-,19-22,-,23-24,-,25+
Jose Valentin,White Sox,79,UL,240,'05,9,12,SS+4,L,,,1-2,3-,4-6,7-11,12-15,-,16-17,-,18+
**Jermaine Dye,White Sox,63,UL,190,'05,9,10,LF-RF+0,R,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Damaso Marte,White Sox,75,UL,190,'05,4,1,Reliever,L,,1-4,5-9,10-14,15-16,17-18,19-21,-,22-23,-,24+
Joe Crede,White Sox,71,UL,160,'05,9,9,3B+0,R,,,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
**Neal Cotts,White Sox,13,UL,70,'05,2,1,Reliever,L,,1-2,3-7,8-13,14-16,17-,18-19,-,20-22,-,23+
**Randy Johnson,Yankees,45,UL,600,'05,6,7,Starter,L,,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+
Alex Rodriguez,Yankees,226,UL,400,'05,11,19,3B+2,R,,,1-2,3-4,5-6,7-10,11-14,15-17,18-,-,19+
Gary Sheffield,Yankees,227,UL,360,'05,12,11,LF-RF+1,R,S,,1-,2-4,5-6,7-11,12-17,-,18-,-,19+
**Tino Martinez,Yankees,70,UL,320,'05,10,10,1B+0,L,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
Kevin Brown,Yankees,218,UL,320,'05,4,6,Starter,R,,1-2,3-5,6-12,13-16,17-18,19-20,-,21-24,-,25+
Jorge Posada,Yankees,223,UL,320,'05,13,9,C+6,S,,,1-2,3-6,7-,8-13,14-17,-,18-19,-,20+
Javier Vazquez,Yankees,228,UL,320,'05,3,6,Starter,R,,1-,2-5,6-10,11-16,17-,18-20,-,21-22,-,23+
**Carl Pavano,Yankees,83,UL,310,'05,4,7,Starter,R,,1-,2-4,5-12,13-16,17-,18-19,-,20-25,-,26+
Tom Gordon,Yankees,220,UL,300,'05,6,1,Reliever,R,,1-3,4-9,10-15,16-17,18-,19-,-,20-25,-,26+
Derek Jeter,Yankees,221,UL,300,'05,10,18,SS+4,R,G,,1-,2-4,5-6,7-9,10-15,16-,17-19,-,20+
**Tony Womack,Yankees,97,UL,270,'05,11,18,2B+2,L,,,1-,2-4,5-6,7-8,9-16,17-18,19-20,-,21+
Miguel Cairo,Yankees,219,UL,240,'05,10,13,2B+2,R,,,1-,2-4,5-6,7-8,9-16,17-,18-,19-,20+
Mariano Rivera,Yankees,225,UL,240,'05,5,1,Closer,R,RP,1-,2-6,7-14,15-16,17-,18-23,-,24-26,-,27+
**Ruben Sierra,Yankees,71,UL,130,'05,9,10,LF-RF+1,S,,,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
Paul Quantrill,Yankees,224,UL,60,'05,2,1,Reliever,R,,1-,2-3,4-11,12-15,16-,17-19,-,20-26,-,27+
Kenny Lofton,Yankees,222,UL,40,'05,10,12,CF+1,L,,,1-,2-4,5-6,7-11,12-18,-,19-,20-,21+
Enrique Wilson,Yankees,229,UL,30,'05,9,12,IF+1,S,,,1-,2-5,6-8,9-11,12-17,-,18-19,-,20+
**Rey Sanchez,Yankees,79,UL,10,'05,9,10,2B+3,R,,,1-,2-5,6-8,9-10,11-18,-,19-20,-,21+
**Nolan Ryan,Angels,175,CC,750,'05,5,8,Starter,R,20 K,1-,2-10,11-12,13-17,18-20,21-,-,22-,-,23+
**Robin Yount,Brewers,170,CC,540,'05,12,19,SS+5,R,G S V,,1-,2-4,5-,6-9,10-13,14-15,16-17,18-19,20+
**Larry Doby,Indians,168,CC,480,'05,12,13,LF-RF+1,L,HR S,,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
**Brooks Robinson,Orioles,171,CC,590,'05,11,16,3B+5,R,G S V,,1-,2-4,5-6,7-10,11-16,17-,18-,19-,20+
**Hoyt Wilhelm,Orioles,166,CC,340,'05,6,2,Reliever,R,RP,1-2,3-7,8-13,14-16,17-,18-20,-,21-27,-,28+
**Harmon Killebrew,Twins,174,CC,730,'05,13,12,3B+3,R,V HR S,,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
**Rod Carew,Twins,173,CC,720,'05,14,22,1B+1,L,V S,,1-,2-4,5-,6-7,8-16,17-18,19-,20-26,27+
**Reggie Jackson,Yankees,172,CC,700,'05,13,13,DH,L,HR S,,1-2,3-,4-6,7-10,11-14,15-,16-,-,17+
**Yogi Berra,Yankees,169,CC,490,'05,12,11,C+9,L,S,,-,1-2,3-6,7-8,9-16,-,17-18,-,19+
**Pee Wee Reese,Yankees,167,CC,460,'05,12,23,SS+4,R,SB S,,1-,2-5,6-,7-12,13-17,18-,19-,20-,21+
