SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
359,1st,Tony Gwynn,Padres,290,'00,9,B,LF-RF+1,L,-,-,1-3,4-5,6-,7-16,17-,18-19,-,20+
359,DS,Tony Gwynn,Padres,290,'00,9,B,LF-RF+1,L,-,-,1-3,4-5,6-,7-16,17-,18-19,-,20+
361,1st,Trevor Hoffman,Padres,200,'00,4,1,Closer,R,9-,1-8,10-14,15-18,-,19-,-,20-,-,-
363,1st,Wally Joyner,Padres,140,'00,8,C,1B+0,L,-,-,1-2,3-4,5-12,13-18,-,19-,-,20+
371,1st,Woody Williams,Padres,190,'00,3,6,Starter,R,5-6,1-4,7-11,12-16,17-,18-,-,19-,-,20+
105,1st,*Desi Relaford,Phillies,100,'00,6,B,SS+0,S,-,-,1-,2-,3-6,7-15,16-,17-19,-,20+
103,1st,*Mickey Morandini,Phillies,90,'00,6,B,2B+3,L,-,-,1-2,3-,4-10,11-18,-,-,19-,20+
104,1st,*Robert Person,Phillies,100,'00,0,6,Starter,R,8-9,1-7,10-13,14-18,19-,-,-,20-,-,-
329,1st,Alex Arias,Phillies,220,'00,8,B,SS+3,R,-,-,1-3,4-,5-7,8-17,-,18-19,-,20+
327,1st,Bobby Abreu,Phillies,550,'00,10,A,LF-RF+1,L,-,1-2,3-,-,4-9,10-14,15-,16-17,18-,19-20
327,FS,Bobby Abreu,Phillies,550,'00,10,A,LF-RF+1,L,-,1-2,3-,-,4-9,10-14,15-,16-17,18-,19-20
338,1st,Chad Ogea,Phillies,10,'00,0,6,Starter,R,4-6,1-3,7-11,12-18,-,-,-,19-,-,20+
340,1st,Curt Schilling,Phillies,600,'00,6,08,Starter,R,6-7,1-5,8-11,12-15,16-,17-19,-,20-,-,-
333,1st,Doug Glanville,Phillies,390,'00,9,A,"CF+2, LF-RF+1",R,-,1-,2-4,5-,6-7,8-14,15-16,17-18,19-,20+
335,1st,Kevin Jordan,Phillies,150,'00,7,C,"2B+1, 3B+2",R,-,-,1-2,3-,4-6,7-17,-,18-,19-,20+
341,1st,Kevin Sefcik,Phillies,310,'00,9,A,OF+1,R,-,-,1-4,5-,6-10,11-15,16-,17-19,20-,-
328,1st,Marlon Anderson,Phillies,150,'00,6,A,2B+3,L,-,-,1-3,4-,-,5-12,13-14,15-18,19-,20+
336,1st,Mike Lieberthal,Phillies,340,'00,8,C,C+6,R,-,1-,2-,3-4,5-7,8-13,-,14-16,-,17-20
331,1st,Paul Byrd,Phillies,330,'00,3,6,Starter,R,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
330,1st,Rico Brogna,Phillies,240,'00,7,B,1B+1,L,-,1-2,3-,4-,5-6,7-13,14-,15-16,17-,18-20
332,1st,Ron Gant,Phillies,330,'00,9,B,LF-RF+1,R,-,1-2,3-,4-5,6-12,13-15,16-,17-,18-,19-20
339,1st,Scott Rolen,Phillies,460,'00,9,B,3B+3,R,-,1-3,-,4-5,6-11,12-13,14-,15-16,-,17-20
337,1st,Steve Montgomery,Phillies,130,'00,5,1,Reliever,R,6-,1-5,7-10,11-15,16-17,18-19,-,20-,-,-
334,1st,Wayne Gomes,Phillies,130,'00,4,1,Closer,R,5-6,1-4,7-12,13-14,15-18,19-20,-,-,-,-
111,1st,*Aramis Ramirez,Pirates,240,'00,8,B,3B+0,R,-,-,1-2,3-5,6-9,10-15,-,16-18,-,19-20
109,1st,*Chad Hermansen,Pirates,210,'00,5,A,OF+2,R,-,1-,2-,-,3-,4-7,8-10,11-13,-,14-20
108,1st,*Francisco Cordova,Pirates,330,'00,4,6,Starter,R,5-6,1-4,7-11,12-15,16-,17-19,-,20-,-,-
106,1st,*Jason Christiansen,Pirates,130,'00,3,1,Reliever,L,7-8,1-6,9-14,15-17,18-19,-,-,20-,-,-
110,1st,*Pat Meares,Pirates,110,'00,6,B,SS+2,R,-,-,1-,2-,3-,4-16,17-,18-19,-,20+
107,1st,*Wil Cordero,Pirates,230,'00,7,B,LF-RF+1,R,-,1-,2-,3-4,5-7,8-13,14-16,17-,-,18-20
344,1st,Adrian Brown,Pirates,210,'00,8,B,OF+0,S,-,1-,2-4,-,5-10,11-17,18-,-,19-,20+
349,1st,Al Martin,Pirates,320,'00,7,A,LF-RF+1,L,-,1-,2-,3-,4-6,7-10,11-12,13-15,16-,17-20
346,1st,Brad Clontz,Pirates,120,'00,3,1,Reliever,R,6-7,1-5,8-11,12-16,17-18,19-20,-,-,-,-
345,1st,Brant Brown,Pirates,220,'00,5,B,OF+1,L,-,1-2,-,-,3-,4-5,6-,7-11,12-,13-20
347,1st,Brian Giles,Pirates,610,'00,10,B,OF+1,L,-,-,1-,2-4,5-10,11-14,-,15-16,-,17-20
354,1st,Ed Sprague,Pirates,280,'00,8,B,3B+0,R,-,1-,2-,3-5,6-10,11-15,-,16-17,-,18-20
348,1st,Jason Kendall,Pirates,460,'00,10,A,C+9,R,-,-,1-3,4-,5-10,11-15,16-17,18-19,-,20+
353,1st,Jason Schmidt,Pirates,330,'00,3,6,Starter,R,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-
356,1st,Kevin Young,Pirates,440,'00,9,A,1B+1,R,-,1-2,-,3-4,5-9,10-13,14-,15-17,18-,19-20
343,1st,Kris Benson,Pirates,340,'00,3,6,Starter,R,6-7,1-5,8-13,14-16,17-,18-19,-,20-,-,-
342,1st,Mike Benjamin,Pirates,110,'00,5,A,SS+5,R,-,1-,-,2-,-,3-8,9-11,12-17,18-20,-
355,1st,Mike Williams,Pirates,90,'00,0,1,Closer,R,10-12,1-9,13-15,16-18,19-,20-,-,-,-,-
352,1st,Scott Sauerbeck,Pirates,110,'00,3,1,Reliever,R,6-7,1-5,8-13,14-16,17-18,19-,-,20-,-,-
351,1st,Todd Ritchie,Pirates,500,'00,5,07,Starter,R,5-6,1-4,7-12,13-15,16-,17-19,-,20-,-,-
350,1st,Warren Morris,Pirates,260,'00,8,B,2B+3,L,-,-,1-2,3-4,5-8,9-17,-,18-,-,19-20
350,FS,Warren Morris,Pirates,260,'00,8,B,2B+3,L,-,-,1-2,3-4,5-8,9-17,-,18-,-,19-20
144,1st,*David Segui,Rangers,240,'00,8,C,DH,S,-,-,1-2,3-4,5-6,7-15,-,16-17,18-,19-20
141,1st,*Gabe Kapler,Rangers,270,'00,7,A,"CF+2, LF-RF+1",R,-,1-,2-3,4-5,6-9,10-13,14-,15-16,17-,18-20
143,1st,*Kenny Rogers,Rangers,350,'00,4,6,Starter,L,4-5,1-3,6-12,13-15,16-,17-19,-,20-,-,-
142,1st,*Ruben Mateo,Rangers,320,'00,7,B,"CF+1, LF-RF+0",R,-,1-,2-,3-4,-,5-12,13-,14-15,-,16-20
140,1st,*Tom Evans,Rangers,200,'00,8,B,3B+1,R,-,1-2,-,3-4,5-11,12-16,-,17-19,-,20+
442,1st,Aaron Sele,Rangers,330,'00,4,6,Starter,R,6-7,1-5,8-12,13-15,16-,17-19,-,20-,-,-
441,1st,Ivan Rodriguez,Rangers,450,'00,8,A,C+11,R,-,-,1-3,4-,-,5-12,13-14,15-16,-,17-20
447,1st,Jeff Zimmerman,Rangers,180,'00,4,1,Reliever,R,6-7,1-5,8-12,13-18,19-,20-,-,-,-,-
445,1st,John Wetteland,Rangers,180,'00,6,1,Closer,R,6-7,1-5,8-9,10-15,16-,17-19,-,20-,-,-
434,1st,Juan Gonzalez,Rangers,460,'00,9,B,LF-RF+0,R,-,1-2,-,3-5,6-7,8-14,-,15-16,-,17-20
443,1st,Lee Stevens,Rangers,270,'00,7,B,1B+1,L,-,1-2,3-,-,4-6,7-13,-,14-16,-,17-20
438,1st,Mark Mclemore,Rangers,240,'00,8,B,2B+3,S,-,-,1-2,3-,4-9,10-17,18-,-,19-,20+
439,1st,Mike Morgan,Rangers,40,'00,0,5,Starter,R,3-5,1-2,6-14,15-18,-,19-,-,20-,-,-
444,1st,Mike Venafro,Rangers,150,'00,4,1,Reliever,L,4-5,1-3,6-14,15-16,17-,18-20,-,-,-,-
440,1st,Rafael Palmeiro,Rangers,520,'00,10,C,DH,L,-,-,-,1-4,5-9,10-14,-,15-16,-,17-20
440,HRH,Rafael Palmeiro,Rangers,520,'00,10,C,DH,L,-,-,-,1-4,5-9,10-14,-,15-16,-,17-20
437,1st,Rick Helling,Rangers,190,'00,3,6,Starter,R,4-5,1-3,6-10,11-16,17-,18-,-,19-,-,20+
432,1st,Royce Clayton,Rangers,280,'00,8,B,SS+4,R,-,1-3,4-5,-,6-8,9-15,16-,17-,18-,19-20
436,1st,Rusty Greer,Rangers,360,'00,10,C,LF-RF+1,L,-,-,1-3,4-5,6-11,12-16,-,17-18,-,19-20
436,DS,Rusty Greer,Rangers,360,'00,10,C,LF-RF+1,L,-,-,1-3,4-5,6-11,12-16,-,17-18,-,19-20
433,1st,Tim Crabtree,Rangers,150,'00,5,1,Reliever,R,5-6,1-4,7-12,13-15,16-,17-20,-,-,-,-
446,1st,Todd Zeile,Rangers,280,'00,8,C,3B+1,R,-,-,1-2,3-4,5-7,8-14,-,15-17,-,18-20
435,1st,Tom Goodwin,Rangers,170,'00,7,A,"CF+2, LF-RF+1",L,-,-,1-3,4-,5-8,9-14,15-18,-,19-20,-
23,1st,*Bret Saberhagen,Red Sox,430,'00,5,6,Starter,R,5-7,1-4,8-11,12-16,-,17-19,-,20-,-,-
21,1st,*Carl Everett,Red Sox,650,'00,10,A,OF+2,S,-,1-2,3-,4-5,6-9,10-14,15-,16-17,-,18-20
24,1st,*John Wasdin,Red Sox,240,'00,5,2,Reliever,R,5-7,1-4,8-11,12-16,-,17-18,-,19-,-,20+
20,1st,*Manny Alexander,Red Sox,180,'00,7,B,"2B-SS+3, 3B+1",R,-,1-3,4-,5-,-,6-14,15-,16-18,19-20,-
22,1st,*Ramon Martinez,Red Sox,570,'00,6,6,Starter,R,6-7,1-5,8-11,12-15,16-17,18-19,-,20-,-,-
68,1st,Butch Huskey,Red Sox,290,'00,7,B,LF-RF+2,R,-,-,1-,2-3,4-6,7-14,-,15-,-,16-20
65,1st,Damon Buford,Red Sox,150,'00,6,A,OF,R,-,1-2,3-,4-,-,8-13,-,16-18,-,-
69,1st,Darren Lewis,Red Sox,140,'00,7,A,"CF+3, LF-RF+2",R,-,-,1-4,5-,6-10,11-17,18-19,-,20-,-
70,1st,Derek Lowe,Red Sox,180,'00,6,1,Reliever,R,5-7,1-4,8-14,15-16,17-,18-19,-,20-,-,-
79,1st,Jason Varitek,Red Sox,230,'00,7,C,C+5,S,-,1-,2-,3-4,5-7,8-12,-,13-17,-,18-20
79,DS,Jason Varitek,Red Sox,230,'00,7,C,C+5,S,-,1-,2-,3-4,5-7,8-12,-,13-17,-,18-20
78,1st,John Valentin,Red Sox,140,'00,6,C,3B+2,R,-,-,-,1-2,3-6,7-14,-,15-17,-,18-20
73,1st,Jose Offerman,Red Sox,320,'00,9,B,2B+2,S,-,-,1-2,3-4,5-10,11-15,16-,17-18,19-,20+
75,1st,Mark Portugal,Red Sox,120,'00,3,5,Starter,R,4-5,1-3,6-11,12-16,-,17-18,-,19-,-,20+
77,1st,Mike Stanley,Red Sox,290,'00,9,C,1B+0,R,-,1-2,-,3-4,5-11,12-16,-,17-18,-,19-20
67,1st,Nomar Garciaparra,Red Sox,470,'00,10,B,SS+1,R,-,-,1-2,3-4,5-7,8-14,15-,16-18,-,19-20
67,HRH,Nomar Garciaparra,Red Sox,470,'00,10,B,SS+1,R,-,-,1-2,3-4,5-7,8-14,15-,16-18,-,19-20
76,1st,Pat Rapp,Red Sox,370,'00,4,5,Starter,R,4-5,1-3,6-12,13-15,16-17,18-20,-,-,-,-
71,1st,Pedro Martinez,Red Sox,660,'00,5,07,Starter,R,10-11,1-9,12-14,15-17,-,18-19,-,20-,-,-
66,1st,Rheal Cormier,Red Sox,150,'00,6,1,Reliever,L,4-6,1-3,7-12,13-15,16-,17-19,-,20-,-,-
64,1st,Rod Beck,Red Sox,80,'00,3,1,Reliever,R,4-6,1-3,7-11,12-16,-,17-18,-,19-20,-,-
80,1st,Tim Wakefield,Red Sox,220,'00,4,2,Reliever,R,5-6,1-4,7-10,11-15,16-17,18-19,-,20-,-,-
72,1st,Trot Nixon,Red Sox,260,'00,8,B,LF-RF+1,L,-,1-,2-,3-4,5-10,11-15,-,16-17,18-,19-20
74,1st,Troy OLeary,Red Sox,270,'00,8,C,LF-RF+0,L,-,1-,2-3,4-5,6-8,9-14,-,15-16,17-,18-20
35,1st,*Dante Bichette,Reds,260,'00,7,B,LF-RF+0,R,-,-,1-,2-3,4-7,8-13,-,14-16,-,17-20
37,1st,*Denny Neagle,Reds,350,'00,6,6,Starter,L,5-6,1-4,7-9,10-15,16-17,-,-,18-19,-,20+
39,1st,*Dennys Reyes,Reds,130,'00,3,1,Reliever,L,8-9,1-7,10-14,15-16,17-19,20-,-,-,-,-
36,HRH,*Ken Griffey Jr.,Reds,530,'00,9,A,"CF+2, LF-RF+1",L,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
36,1st,*Ken Griffey Jr.,Reds,530,'00,9,A,"CF+2, LF-RF+1",L,-,1-,2-,3-5,6-10,11-14,15-,16-,-,17-20
38,1st,*Steve Parris,Reds,340,'00,3,6,Starter,R,5-6,1-4,7-12,13-16,17-,18-19,-,20-,-,-
111,1st,Aaron Boone,Reds,240,'00,7,A,3B+2,R,-,-,1-2,3-4,5-6,7-13,14-15,16-17,18-,19-20
116,1st,Barry Larkin,Reds,360,'00,9,A,SS+5,R,-,-,1-3,4-,5-10,11-15,16-17,18-19,-,20+
120,1st,Brett Tomko,Reds,230,'00,5,6,Starter,R,5-6,1-4,7-10,11-15,16-,17-,-,18-19,-,20+
114,1st,Danny Graves,Reds,180,'00,4,1,Closer,R,5-6,1-4,7-13,14-16,17-18,19-20,-,-,-,-
125,1st,Dmitri Young,Reds,330,'00,8,B,LF-RF+1,S,-,1-,2-4,-,5-6,7-13,-,14-17,-,18-20
119,1st,Eddie Taubensee,Reds,330,'00,8,C,C+2,L,-,-,1-2,3-4,5-,6-14,-,15-16,-,17-20
122,1st,Greg Vaughn,Reds,410,'00,8,A,LF-RF+2,R,-,1-2,3-,4-5,6-12,13-,14-,15-,-,16-20
121,1st,Michael Tucker,Reds,260,'00,7,A,LF-RF+1,L,-,1-2,-,3-,4-9,10-14,15-16,-,17-,18-20
112,1st,Mike Cameron,Reds,340,'00,8,A,OF+2,R,-,1-3,-,4-,5-11,12-,13-14,15-17,18-,19-20
115,1st,Pete Harnisch,Reds,450,'00,4,6,Starter,R,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-
117,1st,Pokey Reese,Reds,240,'00,7,A,2B+5,R,-,-,1-2,3-4,5-,6-12,13-15,16-18,19-,20+
123,1st,Ron Villone,Reds,340,'00,3,6,Starter,L,5-8,1-4,9-12,13-16,17-18,19-,-,20-,-,-
118,1st,Scott Sullivan,Reds,150,'00,6,1,Reliever,R,5-7,1-4,8-10,11-15,16-17,18-19,-,20-,-,-
124,1st,Scott Williamson,Reds,190,'00,3,1,Closer,R,9-,1-8,10-13,14-18,19-20,-,-,-,-,-
113,1st,Sean Casey,Reds,320,'00,9,C,1B+0,L,-,1-,2-3,4-,5-7,8-15,-,16-18,-,19-20
113,FS,Sean Casey,Reds,320,'00,9,C,1B,L,-,1-,2-3,4-,5-7,8-15,-,16-18,-,19-20
49,1st,*Aaron Ledesma,Rockies,160,'00,7,B,"2B-SS+3, 3B+1",R,-,-,1-2,3-,-,4-18,-,19-20,-,-
50,1st,*Brent Mayne,Rockies,350,'00,10,B,C+6,R,-,1-2,3-,4-,5-8,9-15,-,16-20,-,-
45,1st,*Jeff Cirillo,Rockies,390,'00,10,B,3B+3,R,-,1-,2-,3-4,5-8,9-17,-,18-19,-,20+
47,1st,*Jeffrey Hammonds,Rockies,400,'00,9,B,LF-RF+2,R,-,1-3,-,4-,5-7,8-13,-,14-15,-,16-20
48,1st,*Mike Lansing,Rockies,200,'00,7,B,2B+2,R,-,1-,2-,3-4,5-,6-15,-,16-18,-,19-20
46,1st,*Tom Goodwin,Rockies,190,'00,7,A,"CF+2, LF-RF+1",L,-,-,1-3,4-,5-7,9-16,17-18,-,19-,20+
147,1st,Brian Bohanon,Rockies,10,'00,0,6,Starter,L,5-7,1-4,8-12,13-17,18-,19-,-,20-,-,-
152,1st,Curtis Leskanic,Rockies,60,'00,0,1,Reliever,R,8-9,1-7,10-16,17-18,19-,-,-,20-,-,-
145,1st,Dante Bichette,Rockies,350,'00,8,B,LF-RF+0,R,-,-,1-2,3-4,5-7,8-13,-,14-16,-,17-20
151,1st,Darryl Kile,Rockies,10,'00,0,6,Starter,R,5-6,1-4,7-12,13-17,18-,19-,-,20-,-,-
155,1st,Dave Veres,Rockies,60,'00,0,1,Closer,R,8-10,1-7,11-15,16-18,-,19-,-,-,-,20+
146,1st,Henry Blanco,Rockies,190,'00,7,B,C+8,R,-,-,-,1-5,6-11,12-16,-,17-,18-,19-20
144,1st,Jeff Barry,Rockies,190,'00,7,C,"CF+0, LF-RF+1",S,-,-,-,1-3,4-9,10-13,-,14-18,-,19-20
149,1st,Jerry Dipoto,Rockies,70,'00,0,1,Reliever,R,7-,1-6,8-13,14-18,19-,20-,-,-,-,-
142,1st,Kurt Abbott,Rockies,220,'00,7,B,2B+4,R,-,1-3,4-,5-,-,6-14,-,15-17,18-,19-20
156,1st,Larry Walker,Rockies,620,'00,10,B,LF-RF+0,L,-,-,1-,2-,3-7,8-13,14-,15-16,-,17-20
153,1st,Neifi Perez,Rockies,180,'00,6,B,SS+5,S,-,-,1-,2-,-,3-14,15-,16-,17-18,19-20
143,1st,Pedro Astacio,Rockies,220,'00,4,07,Starter,R,6-7,1-5,8-11,12-15,16-,17-18,-,19-,-,20+
154,1st,Terry Shumpert,Rockies,560,'00,10,A,2B+4,R,-,1-,-,2-5,6-8,9-13,14-,15-18,-,19-20
150,1st,Todd Helton,Rockies,420,'00,9,B,1B+0,L,-,-,1-2,3-4,5-8,9-14,-,15-16,17-,18-20
150,FS,Todd Helton,Rockies,420,'00,9,B,1B,L,-,-,1-2,3-4,5-8,9-14,-,15-16,17-,18-20
148,1st,Vinny Castilla,Rockies,290,'00,7,B,3B+2,R,-,-,1-2,3-4,5-6,7-14,-,15-,-,16-20
68,1st,*Blake Stein,Royals,420,'00,4,6,Starter,R,4-5,1-3,6-9,10-15,16-19,20-,-,-,-,-
67,1st,*Brad Rigby,Royals,220,'00,4,2,Reliever,R,3-5,1-2,6-11,12-15,16-,17-19,-,20-,-,-
69,1st,*Mac Suzuki,Royals,210,'00,3,6,Starter,R,4-5,1-3,6-10,11-15,16-17,18-19,-,20-,-,-
66,1st,*Mark Quinn,Royals,390,'00,9,B,DH,R,-,1-2,-,3-5,6-7,8-15,-,16-17,-,18-20
203,1st,Carlos Beltran,Royals,320,'00,7,A,OF+1,S,-,1-,2-,3-,4-,5-13,14-15,16-,17-,18-20
206,1st,Carlos Febles,Royals,270,'00,8,A,2B+3,R,-,1-2,3-5,-,6-10,11-14,15-16,17-18,19-,20+
206,FS,Carlos Febles,Royals,270,'00,8,A,2B+3,R,-,1-2,3-5,-,6-10,11-14,15-16,17-18,19-,20+
208,1st,Chad Kreuter,Royals,90,'00,6,C,C+7,S,-,1-,2-,-,3-9,10-17,-,18-19,-,20+
217,1st,Jay Witasick,Royals,280,'00,3,6,Starter,R,4-5,1-3,6-11,12-15,16-17,18-20,-,-,-,-
209,1st,Jeff Montgomery,Royals,100,'00,4,1,Closer,R,3-5,1-2,6-11,12-14,15-,16-19,-,20-,-,-
215,1st,Jeff Suppan,Royals,460,'00,5,6,Starter,R,3-4,1-2,5-11,12-15,16-,17-19,-,20-,-,-
207,1st,Jeremy Giambi,Royals,170,'00,8,C,1B+0,L,-,1-2,3-,-,4-9,10-18,-,19-,-,20+
205,1st,Jermaine Dye,Royals,310,'00,8,B,LF-RF+1,R,-,1-,2-3,4-5,6-8,9-13,-,14-16,17-,18-20
210,1st,Joe Randa,Royals,290,'00,8,B,3B+1,R,-,-,1-,2-3,4-5,6-15,-,16-17,18-,19-20
204,1st,Johnny Damon,Royals,360,'00,9,A,LF-RF+1,L,-,-,1-3,4-5,6-9,10-14,15-16,17-18,19-,20+
211,1st,Jose Rosado,Royals,450,'00,4,6,Starter,L,5-6,1-4,7-11,12-16,17-,18-19,-,20-,-,-
216,1st,Mike Sweeney,Royals,340,'00,9,B,1B+0,R,-,-,1-3,4-,5-8,9-15,-,16-18,-,19-20
212,1st,Rey Sanchez,Royals,150,'00,7,B,SS+5,R,-,-,1-4,-,-,5-17,18-,19-,20-,-
213,1st,Scott Service,Royals,70,'00,0,1,Reliever,R,7-8,1-6,9-13,14-18,19-,20-,-,-,-,-
214,1st,Tim Spehr,Royals,260,'00,7,B,C+3,R,-,1-2,-,3-4,5-14,-,-,15-,-,16-20
51,1st,*Doug Brocail,Tigers,160,'00,4,1,Reliever,R,7-8,1-6,9-13,14-17,18-,19-20,-,-,-,-
54,1st,*Hideo Nomo,Tigers,220,'00,3,07,Starter,R,7-8,1-6,9-11,12-16,17-,18-,-,19-,-,20+
53,1st,*Juan Gonzalez,Tigers,520,'00,9,B,LF-RF+0,R,-,1-2,-,3-5,6-8,9-13,-,14-15,-,16-20
55,1st,*Luis Polonia,Tigers,370,'00,8,A,LF-RF+0,L,-,-,1-2,3-4,-,5-11,12-13,14-16,17-18,19-20
52,1st,*Robert Fick,Tigers,250,'00,7,B,C+3,R,-,1-,-,2-4,5-7,8-13,-,14-16,17-,18-20
164,1st,Bobby Higginson,Tigers,210,'00,8,B,LF-RF+1,L,-,1-,2-,3-5,6-13,14-17,-,18-,-,19-20
157,1st,Brad Ausmus,Tigers,240,'00,8,B,C+7,R,-,-,1-2,3-,4-9,10-15,16-,17-18,19-,20+
168,1st,Brian Moehler,Tigers,320,'00,3,6,Starter,R,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-
169,1st,C. J. Nitkowski,Tigers,150,'00,4,1,Reliever,L,5-7,1-4,8-12,13-16,17-19,20-,-,-,-,-
161,1st,Damion Easley,Tigers,240,'00,8,B,2B+2,R,-,1-2,3-4,5-,6-10,11-15,16-,17-18,-,19-20
161,DS,Damion Easley,Tigers,240,'00,8,B,2B+2,R,-,1-2,3-4,5-,6-10,11-15,16-,17-18,-,19-20
167,1st,Dave Mlicki,Tigers,340,'00,3,6,Starter,R,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-
170,1st,Dean Palmer,Tigers,320,'00,7,B,3B+1,R,-,1-2,-,3-,4-8,9-13,-,14-,-,15-20
160,1st,Deivi Cruz,Tigers,140,'00,6,C,SS+5,R,-,-,1-2,3-,-,4-14,-,15-18,-,19-20
158,1st,Frank Catalanotto,Tigers,250,'00,7,B,2B-1B-3B+1,L,-,1-,2-,3-4,5-6,7-14,-,15-17,-,18-20
166,1st,Gabe Kapler,Tigers,310,'00,7,A,"CF+2, LF-RF+1",R,-,-,1-2,3-5,6-9,10-12,13-,14-15,16-,17-20
171,1st,Jeff Weaver,Tigers,330,'00,3,6,Starter,R,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-
162,1st,Juan Encarnacion,Tigers,220,'00,6,A,LF-RF+2,R,-,1-2,3-4,5-,-,6-7,8-11,12-15,16-,17-20
163,1st,Karim Garcia,Tigers,200,'00,5,B,LF-RF+1,L,-,1-,-,2-,3-,4-10,-,-,11-12,13-20
165,1st,Todd Jones,Tigers,150,'00,3,1,Closer,R,6-7,1-5,8-13,14-16,17-18,19-20,-,-,-,-
159,1st,Tony Clark,Tigers,300,'00,8,B,1B+0,S,-,1-2,3-,4-,5-9,10-15,-,16-17,-,18-20
82,1st,*David Ortiz,Twins,260,'00,8,C,1B+0,L,-,1-2,-,3-5,6-10,11-14,-,15-17,-,18-20
80,1st,*Eddie Guardado,Twins,150,'00,4,1,Closer,L,7-,1-6,8-10,11-16,17-18,-,-,19-20,-,-
79,1st,*Hector Carrasco,Twins,120,'00,3,1,Reliever,R,5-6,1-4,7-12,13-16,17-,18-20,-,-,-,-
81,1st,*Jacque Jones,Twins,220,'00,7,B,"CF+2, LF-RF+1",L,-,1-,2-3,4-,5-,6-12,13-,14-17,18-,19-20
262,1st,Bob Wells,Twins,150,'00,6,1,Reliever,R,4-5,1-3,6-9,10-15,16-,17-19,-,20-,-,-
258,1st,Brad Radke,Twins,480,'00,4,07,Starter,R,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-
248,1st,Chad Allen,Twins,240,'00,7,A,LF-RF+1,R,-,1-,2-3,-,4-5,6-15,16-,17-,18-,19-20
253,1st,Corey Koskie,Twins,350,'00,9,B,3B+2,L,-,1-2,3-,4-,5-8,9-16,-,17-18,-,19-20
253,FS,Corey Koskie,Twins,350,'00,9,B,3B+2,L,-,1-2,3-,4-,5-8,9-16,-,17-18,-,19-20
250,1st,Cristian Guzman,Twins,20,'00,5,B,SS+0,S,-,-,1-2,-,3-,4-18,19-20,-,-,-
251,1st,Denny Hocking,Twins,200,'00,6,A,"2B-SS+2, OF+1",S,-,-,1-2,3-,4-,5-14,15-16,17-18,-,19-20
256,1st,Doug Mientkiewicz,Twins,90,'00,7,C,1B+1,L,-,-,1-,2-4,5-11,12-16,-,17-19,20-,-
257,1st,Eric Milton,Twins,530,'00,6,6,Starter,L,5-6,1-4,7-9,10-15,16-,17-19,-,20-,-,-
255,1st,Joe Mays,Twins,390,'00,3,07,Starter,R,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-
254,1st,Matt Lawton,Twins,220,'00,8,A,LF-RF+1,L,-,-,1-4,5-,6-11,12-16,17-18,19-,-,20+
260,1st,Mike Trombley,Twins,160,'00,5,1,Closer,R,6-7,1-5,8-11,12-15,16-,17-19,-,20-,-,-
249,1st,Ron Coomer,Twins,200,'00,6,B,"1B+1, 3B+3",R,-,-,1-,2-,3-,4-13,-,14-16,-,17-20
259,1st,Terry Steinbach,Twins,220,'00,8,B,C+4,R,-,-,1-3,4-,5-8,9-17,-,18-,19-,20+
261,1st,Todd Walker,Twins,220,'00,7,A,2B+1,L,-,-,1-2,3-,4-6,7-12,13-14,15-18,19-,20+
252,1st,Torii Hunter,Twins,160,'00,6,B,OF+1,R,-,-,1-2,-,3-5,6-14,15-16,17-,-,18-20
34,1st,*Jose Valentin,White Sox,220,'00,7,B,SS+1,S,-,1-,-,2-4,5-13,14-15,-,16-17,-,18-20
31,1st,*Keith Foulke,White Sox,350,'00,4,2,Reliever,R,8-10,1-7,11-13,14-18,-,19-,-,20-,-,-
32,1st,*Mark L. Johnson,White Sox,190,'00,8,B,C+7,L,-,1-3,4-,5-,6-13,14-17,-,18-19,-,20+
33,1st,*Sean Lowe,White Sox,120,'00,3,1,Reliever,R,4-5,1-3,6-12,13-16,17-18,19-20,-,-,-,-
106,1st,Bill Simas,White Sox,100,'00,3,1,Reliever,R,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
100,1st,Bob Howry,White Sox,180,'00,5,1,Closer,R,7-8,1-6,9-11,12-15,16-18,19-20,-,-,-,-
99,1st,Brook Fordyce,White Sox,230,'00,8,B,C+6,R,-,-,1-3,4-5,6-7,8-15,-,16-19,-,20+
102,1st,Carlos Lee,White Sox,220,'00,7,B,LF-RF+1,R,-,-,1-2,3-5,-,6-14,-,15-17,-,18-20
107,1st,Chris Singleton,White Sox,310,'00,7,A,"CF+3, LF-RF+2",L,-,-,1-2,3-4,-,5-11,12-13,14-16,17-,18-20
110,1st,Craig Wilson,White Sox,100,'00,6,B,3B+1,R,-,-,1-2,3-,4-7,8-18,-,-,-,19-20
